EIN	GRSCONTRGIFTS	INTRSTRVNUE	DIVIDNDSAMT	GRSRENTS	GRSSLSPRAMT	GRSPROFITBUS	OTHERINCAMT	DIST_DELTA
10498551	1000000	214196	1157030	0	95879000	0	0	-2142932
10499178	0	6148	54125	0	327631	0	46	-1754
10499674	10	0	0	0	0	0	0	0
10499674	16899	0	0	0	0	0	0	0
10500013	582	2558	4120	0	70262	347	660	0
10500483	0	0	3685	0	159313	0	-43	-817
10504173	0	0	13590	0	460011	0	-116	-11602
10507152	0	0	431	0	0	0	0	-569
10509876	0	14565	0	0	1960	0	14350	1450
10511365	0	12	7504	0	203323	0	0	2145
10511399	0	1501	0	0	0	0	0	422
10511685	0	0	5015	0	407149	0	299	1279
10512082	0	0	146541	0	2205759	0	0	130509
10512569	757	0	0	0	0	0	0	-3
10513772	0	3050	6768	0	100206	0	0	3105
10513860	0	335	0	0	0	0	0	0
10513860	0	890	0	0	0	0	0	0
10514175	0	14789	13464	0	0	0	0	-3386
10514859	3285	0	27148	0	839527	0	-456	351151
10515885	0	0	7097	0	326423	0	-66	845
10516587	142550	0	4623	0	144509	0	0	142642
10517928	0	0	0	0	0	0	0	-45
10518137	0	19	47115	0	109568	0	21350	-13838
10518429	0	9109	9568	0	139464	0	2852	7328
10519633	12700	1	7726	0	205158	0	0	180668
10521503	0	0	11149	0	24463	0	0	-6220
10522137	0	51	0	0	0	0	0	0
10522171	41953	13698	59107	0	1297869	0	57168	-29057
10523143	43792	42983	64078	0	2124085	0	0	2071
10523480	350	0	0	0	0	0	0	0
10525593	0	0	14205	6500	421591	0	0	881
10525617	0	8	0	0	1000	0	3231811	0
10526170	8063	0	3928	0	60136	0	0	10600
10526972	0	0	8711	0	342123	0	0	-113
10529020	0	0	2	0	0	0	0	-130
10530258	0	0	0	0	0	0	0	-7
10530498	50860	0	69703	0	376358	0	0	53809
10530739	13532	0	0	0	0	0	0	-1
10532830	0	0	1689	0	12277	0	0	-590
10533104	0	0	0	0	0	0	0	0
10533441	6059	0	839	0	21809	0	0	13000
10533527	10383	3	0	0	0	0	0	7538
10534479	0	0	37380	0	72504	0	0	19981
10535008	0	0	0	0	0	0	0	0
10535144	6000	7500	1931180	0	0	0	3225	-1397066
10535353	23430	0	0	0	0	0	3127	0
10535353	1548	0	0	0	0	0	2065	0
10537127	0	0	199998	5820	1014318	0	11608	-99415
10537471	167979	0	9392	0	1762	0	25	120058
10538172	1901958	4137	0	0	887827	2076671	0	0
10539524	0	0	447	0	525	0	0	0
10539670	0	11262	38032	0	269580	0	-2049	-17472
10539770	1680850	19465	9527	0	4764	0	326	-526037
10539790	26887	0	8117	0	25166	0	0	24451
10540393	0	0	20982	0	0	0	0	138
10541580	50510	0	5864	0	82009	0	11877	28505
10544416	1250	3	0	0	0	0	0	0
10546133	0	0	122533	0	1092445	0	0	42745
10546160	217500	9	89454	0	3735181	0	0	887334
10546382	6300	3	2979	13750	38410	0	0	0
10547392	127285	2162	76546	0	0	0	0	21326
10547931	0	0	0	0	0	0	0	-30
10548049	0	0	2208	0	2500	0	0	-858
10548602	0	0	28492	0	1119216	0	200	68800
10548650	0	0	11595	0	26394	0	0	-2218
10548657	500000	95	0	0	0	0	0	-1700
10548679	0	0	0	0	0	0	0	188
10548690	20	0	0	0	0	0	2975	-54
10548911	0	0	0	0	14753	0	3287	-5914
10549309	0	0	30682	0	965841	0	22395	270776
10550123	750000	0	0	0	0	0	0	750000
10551686	0	0	20080	0	227861	0	27	-37403
10552149	0	447	208388	0	718312	0	0	-186898
10553351	0	133	73	0	8100311	0	10309	83549
10553690	0	25	29424	0	370016	0	0	-2298
10554145	25000	222	0	0	0	0	0	-555
10554858	0	0	4602	0	473239	0	0	16644
10555028	0	15	141794	0	479717	0	-12739	959
10555919	0	0	159	0	0	0	0	21863
10556235	90000	0	1368	0	0	0	0	62739
10556625	126561	0	26537	0	373430	0	0	158793
10556625	197458	0	13928	0	420602	0	0	122097
10557030	0	0	13988	0	148154	0	50	46213
10557552	21641	0	0	0	0	2114	10126	-968
10557719	50	0	43596	0	83096	0	0	-42437
10557958	0	0	0	0	0	0	0	5393
10557958	0	0	0	0	0	0	0	7609
10558214	0	0	0	0	0	0	3	-15016
10559208	567407	1525	0	0	0	0	1500	0
10559509	65025	0	118100	0	250461	0	0	552290
10559558	54200	0	3276	0	0	0	0	36720
10560590	0	33	0	0	0	0	0	-2356
10560970	0	0	22533	0	25688	0	0	-91
10560985	0	7	33760	0	249411	0	0	-5082
10561381	0	0	57918	0	2068087	0	2884	44946
10561393	0	0	227926	346125	7838814	0	3404	-460207
10562781	43258	2	304	0	50691	0	0	1034
10563707	22000	0	0	0	0	0	0	23611
10563715	0	0	2981	0	79596	0	5500	5547
10563949	0	0	1	0	0	0	0	18227
10563957	0	10	0	0	40000	0	0	-18968
10564458	239754	153	0	0	0	0	0	0
10564658	0	529	0	0	0	0	0	14600
10565588	0	0	11002	0	38638	0	-119345	-12330
10566327	0	0	277	0	0	0	0	-845
10566453	244125	0	0	0	0	0	0	147515
10566881	1668	0	1606	0	28523	0	0	16959
10567099	0	0	6230	0	0	0	0	-3450
10567224	726813	0	0	0	0	0	0	0
10567352	0	0	75	0	47462	0	0	13098
10567486	0	0	46040	0	537333	0	151	32603
10567810	74053	1	31101	0	127651	0	0	-11788
10568703	0	0	0	0	0	0	0	0
10568703	0	0	0	0	0	0	0	0
10568837	251885	0	4932	0	9723	0	0	-22351
10570536	167540	9	114171	0	325349	0	0	-10113
10571164	0	0	1030	0	15229	0	0	5507
10571164	0	0	1296	0	14960	0	0	5391
10575002	0	0	9078	0	75135	0	0	-4010
10575520	686800564	0	0	0	0	0	0	686800564
10576324	48000	9046	37638	0	2911331	0	2307	43247
10580707	0	0	12141	0	155568	0	0	-1077
10581159	0	0	13248	0	743142	0	1246	0
10582906	800	0	2665	0	0	0	0	-1108
10582906	2102	1521	0	0	0	0	0	1197
10583568	0	6	9187	0	655423	0	0	-8373
10585106	0	462	0	47910	0	0	15573	3283
10585733	55000	2	0	0	0	0	243	-874
10586840	181692	262	0	0	0	0	29500	0
10587209	1579	0	0	0	0	0	0	0
10589836	0	0	15176	0	114157	0	0	-2392
10591774	0	0	0	0	0	0	0	0
10594158	0	0	0	0	0	0	0	0
10597121	0	0	591	0	16485	0	0	0
10598444	416677	0	0	0	0	0	1419	260000
10602943	17900	3	0	0	0	0	0	16297
10606542	41129	0	0	0	0	0	0	0
10612073	150000	7	30038	0	434	0	0	102979
10613278	33031	26	0	0	0	0	0	1500
10614397	2057121	20	299	0	1069943	0	0	2107894
10617035	35	0	2	0	0	0	0	1600
10617231	50050	151	14382	0	53424	0	5537	-5119
10617862	0	0	0	0	0	0	0	0
10617948	145000	0	0	529302	0	0	188322	-208276
10620097	0	103407	117658	0	8659434	0	0	6715587
10621340	0	45	12996	0	248180	0	59	-6419
10622824	42720	0	0	0	0	0	0	0
10623055	844663	27	78118	0	9766691	0	2000	-3556099
10623466	1250	0	0	0	0	0	0	20
10626360	203437	0	1	0	0	0	0	23437
10626611	0	29	54914	0	928679	0	0	-38168
10628695	4000	0	1794	0	35878	0	-2371	-3315
10629526	64409	52846	19665	0	2694180	0	14756	-158385
10631432	0	0	0	0	0	0	0	0
10632263	0	0	18637	0	80170	0	0	-8928
10632648	0	6817	20511	0	530694	0	0	-23511
10632950	0	12	2	0	6589465	0	0	815
10635531	0	19376	37625	0	1295971	0	0	-16374
10635866	0	0	831	0	6626	0	0	4092
10636574	0	0	93216	0	551753	0	0	110808
10636772	10000	29	0	0	0	0	0	3000
10637863	0	36	79420	0	749610	0	0	-4551
10640076	850	0	0	0	0	0	0	400
10641661	226540	0	10733	0	41766	0	0	16958
10643285	60000	0	0	0	0	0	0	93053
10644503	417087	326771	1091425	0	2110726	0	-3930	-1310139
10647596	0	0	33819	0	311825	0	0	513
10647626	180598	2	13727	0	1597	0	0	-16557
10648135	0	0	0	0	0	0	63	-9
10650596	2500	0	0	0	0	0	0	0
10650596	1000	0	0	0	0	0	0	0
10652846	0	0	516	0	0	0	0	-715
10655259	50000	1484	0	0	0	0	0	0
10656784	0	0	4140	0	0	0	0	-3268
10658230	7448	0	40261	0	335166	0	0	-14262
10658318	0	0	0	0	0	0	0	-10
10658759	100000	482	19214	0	367753	0	101	435175
10660247	17961	156	0	0	0	0	0	15000
10660673	0	0	208	0	0	0	0	-189
10661139	1056102	592	0	0	0	0	0	160948
10661700	668	2	0	0	0	0	0	-309
10663221	0	1	0	0	0	0	0	-744
10663336	16564	29	0	0	0	0	0	8175
10663847	0	0	0	0	0	0	0	0
10664998	0	0	152199	0	780686	0	7	-1640
10664998	0	0	162936	0	1116087	0	0	5280
10665720	0	0	8071	0	0	0	0	-4375
10666056	0	0	13023	0	160773	0	0	-1904
10666288	0	7	7576	0	0	0	9591	13355
10669086	0	10431	50190	0	224368	0	0	17485
10669277	29300	0	0	0	0	0	0	-47
10671300	0	0	0	0	0	0	0	0
10671468	0	37	21184	0	151671	0	0	120564
10672043	600	335	104	0	0	0	0	16190
10672416	0	0	2440	0	0	0	0	-383
10674806	35000	554	0	0	0	0	0	-1709
10675481	0	297	138849	0	13146773	0	-13	322851
10675891	26986	0	0	0	0	0	0	450
10676178	0	0	0	0	0	0	0	0
10676696	0	0	12300	0	251818	0	-50	3404
10677640	0	1	0	0	0	0	0	-115
10678905	0	0	0	0	0	0	0	0
10678956	0	1873	0	0	0	0	681059	500
10679061	0	0	35467	0	411180	0	0	18323
10681963	106419	10	0	0	0	0	0	81619
10683207	80000	69	0	0	0	0	0	71979
10683241	0	0	10949	0	38175	0	0	27000
10684612	0	143	0	0	0	0	0	-58
10685203	0	0	0	0	0	0	0	0
10687604	0	1	15783	0	402137	0	0	123209
10692828	0	2	3388	0	0	0	1380	3000
10693374	0	0	30054	0	265854	0	0	64927
10693937	0	0	0	0	0	0	0	0
10698848	0	0	12	0	5065	0	0	983
10699262	800	0	0	0	0	0	118182	80
10700751	66634	9	0	0	0	0	0	-7206
10702653	2500	39944	97336	0	1708834	0	0	12113
10705096	0	4069	588	0	8714	0	0	396
10705471	1174500	0	0	0	0	0	0	1192001
10705507	59590	3	0	0	0	0	0	71400
10706738	186486	86	0	0	0	0	0	165085
10709908	236	0	0	0	0	0	0	605
10710118	50000	0	16	0	0	0	0	31093
10712009	39	924	0	0	0	0	0	26134
10712193	0	0	4055	0	0	0	0	17270
10713216	0	7	19443	0	470125	0	0	2160
10714710	0	58	2100	0	0	0	0	-12149
10715737	0	0	0	0	0	0	497249	0
10717290	0	0	0	0	0	0	0	0
10718020	0	0	804	299318	0	0	7126	-126772
10718020	100	0	38680	302737	200000	0	3155	0
10718240	51014473	724	415374	0	16595990	0	0	27068397
10718335	0	31	0	0	0	0	0	0
10718949	14307	1076	145603	0	11925902	0	1587	0
10719025	250	0	0	0	0	0	0	0
10719924	0	252	0	0	0	0	0	47253
10719926	0	162	0	0	0	0	0	-2025
10720431	112665	0	60839	0	3595641	0	21254	334645
10720459	928621	0	0	0	0	0	0	-24
10720931	10195	0	0	0	0	0	0	0
10721940	0	0	58670	0	0	0	1240	-68916
10722403	0	4551	47467	0	50000	0	0	3734
10722408	0	119	95730	0	948645	0	0	13367
10722832	210000	0	0	0	0	0	0	186789
10724780	73650	0	0	0	0	0	0	41941
10726374	1902294	13	0	0	0	0	0	2173550
10727254	0	0	6286	0	34613	0	0	3484
10727947	13890	0	0	0	0	0	0	0
10729016	0	0	0	0	0	0	0	0
10729016	3664	0	0	0	0	0	0	0
10732918	10000	516	0	0	0	0	0	-1649
10733113	0	0	0	0	0	0	0	0
10733159	0	7	0	0	0	0	10848	0
10733312	4000	1	0	0	0	0	525	0
10733593	1245689	0	24690	0	1516988	0	0	454128
10733803	0	0	0	0	0	0	0	0
10737173	0	0	16182	0	306367	0	0	7731
10738680	0	0	0	0	0	0	0	0
10739297	20000	0	4062	0	76109	0	0	44139
10739379	0	0	21781	0	73277	0	0	-74
10741495	2600	0	0	0	0	0	0	-90
10741645	0	0	0	0	0	0	0	-4
10741784	7579	0	0	0	0	0	0	1102
10741784	7488	0	0	0	0	0	0	-500
10743190	216319	8676	0	0	0	3796	83967	0
10744075	175000	1078	0	0	0	0	0	81129
10744103	0	0	0	0	0	0	0	-35
10744113	0	6	25597	0	378428	0	0	16434
10745825	0	0	0	0	0	0	0	1000
10746539	98039	4810	32354	0	138907	0	0	45159
10747500	39602	233	0	0	0	121	0	-7484
10747810	0	5	0	0	0	0	0	-488
10747898	0	0	0	0	0	0	0	0
10751046	5100000	248	95447	0	5279052	0	77092	522957
10751074	100000	4	0	0	0	0	0	132480
10751210	390134	0	0	0	0	0	0	-6710
10751429	100000000	33626	5012892	0	9810183	0	157741	457916
10752611	950000	0	0	0	0	0	282	908083
10752786	394437	582	47353	0	854937	0	0	-4551
10752883	0	13981	1081	0	110582	0	0	18274
10754036	0	183	0	0	0	0	0	-6627
10755561	1500	0	0	0	0	0	0	0
10755988	0	0	0	0	0	0	0	0
10756152	500	0	0	0	0	0	0	-4
10756452	0	0	612	0	8109	0	0	-480
10756680	0	0	0	0	0	0	0	0
10756986	0	0	32438	0	874695	0	0	5706
10757056	0	0	48351	0	0	0	-243	-18155
10757068	0	0	20230	0	0	0	0	-2997
10758677	25	2	325432	0	855352	0	0	-33630
10758839	18229	0	17660	0	243717	0	0	-465
10758860	45000	7084	0	0	0	0	0	26407
10759072	53746	0	0	0	0	0	15600	8863
10759380	3264191	98	0	0	11053	0	0	924030
10760054	2000000	1712	0	0	0	0	0	325000
10760063	0	45	0	0	0	0	0	67387
10761416	1000000	0	0	0	0	0	0	1317659
10761701	775	0	0	0	0	0	445	0
10765234	433228	0	0	0	0	0	0	0
10765234	300180	0	0	0	0	0	0	0
10767254	375	0	0	0	0	0	0	3500
10768694	8950	527	0	0	0	0	2070	5990
10769300	26644	0	8037	0	97596	0	0	16997
10769386	20019	0	7507	0	38728	0	0	18689
10772925	768794	0	253067	0	1496727	0	-536	815076
10782316	0	15929	5337	0	0	0	2	554
10782787	2485	324	0	0	0	0	0	-1954
10785617	60700	0	0	0	0	0	0	-623
10788855	253400	22	0	0	0	0	0	219350
10789717	8476992	0	2463396	0	59311772	0	-255518	-1000246
10789964	27379	0	0	0	0	0	0	0
10791880	0	5	14832	0	367433	0	12	-4182
10791882	0	0	2956	0	12903	0	0	-4528
10792167	0	0	0	0	0	0	0	0
10793830	0	1279	44698	0	0	0	0	267500
10794391	0	0	0	0	0	0	0	0
10798987	0	0	0	0	0	0	0	-487
10799916	30000	6974	9291	0	56487	0	0	2287
10800004	152866	19	19372	0	51806	0	0	83671
10801962	12800	0	0	0	0	0	2499	-108
10803061	0	0	2633	0	0	0	0	6784
10805077	150061	0	0	0	0	0	0	0
10805754	475	0	0	0	0	0	0	1282
10805950	0	0	60813	0	776683	0	0	-26199
10807686	0	3040	7174	0	1044121	0	0	73009
10810723	0	0	158403	0	4903865	0	3713	-57029
10812022	0	0	0	0	0	0	0	0
10825321	0	0	10984	0	663332	0	0	-15457
10825487	0	15	0	0	0	0	0	39814
10826113	0	34	0	0	0	0	0	0
10827626	2660	0	0	0	0	0	0	1400
10828182	75313	0	0	0	0	0	0	83120
10835940	320000	0	0	0	0	0	0	-3279
10838695	259	747	0	0	0	0	0	-1710
10839510	0	0	3188	0	78963	0	0	10308
10840176	280000	0	0	0	0	0	0	266352
10845451	0	0	0	0	0	0	0	0
10845578	0	0	20714	0	294420	0	0	-6024
10846118	326222	397	1196	0	90536	0	0	127392
10850018	0	0	0	0	0	0	13978	59218
10850218	284580	18	0	0	54750	0	0	22677
10850260	100000	0	24437	0	0	0	0	1725
10851933	0	0	0	100870	0	0	0	-74637
10852305	0	0	16938	0	407064	0	0	43981
10852643	313579	108	76477	0	551557	0	498	-22178
10852699	101976	2	10873	0	321527	0	0	103448
10853674	9316	0	0	0	0	0	0	0
10854918	0	0	663	0	0	0	-13660	131854
10867165	140846	6	0	0	0	7570	0	32032
10868646	0	0	0	0	0	0	0	710
10868646	200	0	0	0	0	0	0	499
10884807	0	0	0	0	0	0	3045	-559
10885745	245206	0	47673	0	250993	0	0	844
10898666	790	0	0	0	0	0	32444	0
10898981	100	1	6979	0	16315	0	0	-3691
10904291	2420	0	799	0	0	0	5855	3100
10909369	2598	0	0	0	0	0	0	0
10911385	0	0	0	0	0	0	0	0
10912891	745000	0	0	0	0	0	0	733630
10915161	35745	0	0	0	0	0	3	19569
10918246	0	0	0	0	0	18826	6256	40
10923769	0	0	0	0	0	1233	0	0
10923769	0	0	0	0	0	7324	0	0
10930068	0	0	22155	0	1271400	0	0	900
10931287	200000	1	0	0	0	0	0	108943
10936787	15000	0	7125	0	98074	0	0	74603
10939828	0	0	184718	0	557133	0	0	-102580
10939901	249900	3	14552	0	572894	0	0	4464
10940262	0	0	0	0	0	0	0	-441
10940317	145558	2332	0	0	424062	0	0	78618
10940667	0	0	0	0	0	0	0	217
10949566	0	0	0	0	0	0	0	0
10949570	0	0	0	0	0	0	0	0
10951136	5000	2	0	0	0	0	0	700
10959068	0	0	6344	0	172105	0	0	-1082
10960984	24433	0	0	0	0	0	0	0
10960984	49873	0	0	0	0	0	0	0
10972846	23500	0	0	0	0	0	0	11246
13732915	0	0	61635	0	1015786	0	0	-123762
16006943	0	0	10727	0	466257	0	-125	-6200
16007022	0	0	25120	0	78611	0	0	659
16007099	0	0	5646	0	39127	0	0	-5799
16007180	0	0	76309	0	402435	0	2691	-4194
16007293	0	0	30641	0	572300	0	2652	35833
16007404	0	0	3764	0	530	0	0	-2117
16007553	0	0	23372	0	471264	0	0	-5052
16007600	0	0	57027	0	1291497	0	0	-8941
16007600	0	0	57668	0	719291	0	1393	-11091
16007845	0	0	1559	0	11795	0	0	-558
16007890	0	0	9223	0	171811	0	0	-4100
16008020	0	0	15514	0	481840	0	-42	-4014
16008039	0	0	9587	0	155152	0	0	-673
16008095	0	0	28982	0	679285	0	0	-9533
16008118	0	0	7356	0	585363	0	0	-704
16008118	0	0	13218	0	487386	0	77	-3611
16008363	0	0	1766	0	24474	0	0	-258
16008363	0	0	1957	0	70337	0	-7	10
16008389	218236	0	1774	0	161485	0	0	100656
16008407	0	0	4590	0	68972	0	0	-2378
16008605	0	0	7997	0	90973	0	0	-23265
16008606	0	0	3902	0	42773	0	0	-11105
16008640	0	0	6804	0	47121	0	0	5648
16008812	0	0	4047	0	3448	0	0	-346
16008813	0	0	31039	0	259635	0	0	13001
16008813	0	0	40427	0	220838	0	0	16711
16009118	130	0	9239	0	356976	0	-23	-2820
16009119	0	0	4459	0	269137	0	0	-861
16009129	0	0	7928	0	288524	0	-29	-3269
16009136	0	0	7296	0	199986	0	0	-4727
16009168	0	2	191507	0	225475	0	0	-12635
16009168	0	5	209577	0	93875	0	0	-20476
16009246	8290	2	206786	0	706783	0	0	-20363
16009341	10000	0	92398	0	407705	0	0	-2536
16009431	0	0	41477	0	148323	0	55	-6046
16009472	0	0	13243	0	191832	0	0	-5450
16009472	0	0	16793	0	610229	0	-62	-3062
16009480	0	0	32151	0	135897	0	39	-4857
16009698	0	0	6089	0	78372	0	0	-9837
16009962	110	1	10435	0	26	0	65	873
16010043	0	958	64927	0	0	0	2575	-5644
16010120	0	0	51736	0	864961	0	-371	-35067
16010195	0	0	38730	0	573038	0	17	-6254
16010608	13173	7	27916	0	53518	0	0	45463
16011398	0	0	7107	0	28954	0	1228	-3421
16011398	0	0	8262	0	13486	0	0	-2439
16011934	0	0	4790	0	83977	0	0	-2479
16011934	0	0	5318	0	182849	0	-17	-1635
16012457	0	0	29355	0	917490	0	0	1104
16013214	0	0	4602	0	46049	0	17523	-4857
16013826	0	0	14334	0	573091	0	-171	-29506
16013997	0	35	11716	0	0	0	0	-1727
16013997	0	2	2307	0	0	0	0	1983
16014103	0	0	5533	0	141464	0	-60	-1670
16014226	0	0	3082	0	8497	0	161	-951
16014324	435	613	289	0	5457	0	45512	-4800
16015938	0	25	0	0	0	0	0	-346
16017002	0	0	2276	0	71637	0	26	-712
16017204	0	0	11534	0	62526	0	0	-4189
16017204	0	0	12763	0	85648	0	0	-1985
16017321	0	0	21893	0	250186	0	0	7963
16018436	0	0	5923	0	256727	0	-82	-3349
16019033	24900	13549	83428	0	1556044	0	0	-25800
16019126	0	0	8971	0	38043	0	0	-16207
16019456	42393	0	0	0	0	0	0	43100
16019476	0	0	29203	0	331123	0	0	-14033
16020765	520	1338	14996	0	101503	0	0	20889
16021084	0	0	27906	0	140116	0	0	-10429
16021861	0	0	6588	0	269902	0	53	-5566
16023765	0	0	26811	0	329731	0	0	-9592
16023919	0	0	9633	0	0	0	0	1886
16027530	0	0	53910	0	1065038	0	1885	4814
16027531	0	0	16566	0	556399	0	301	-3198
16028898	2200	0	4062	0	14403	0	0	6936
16029987	0	0	387	0	31663	0	45	41
16030585	0	0	320	0	3970	0	31	1176
16030840	0	0	9310	0	226695	0	-104	-3295
16031448	0	0	5737	0	31190	0	0	3753
16033742	0	0	5965	0	24276	0	0	-2150
16033742	0	0	6888	0	11370	0	0	-1260
16035744	0	0	12075	0	194082	0	0	-4700
16035744	0	0	13653	0	495395	0	348	-3705
16035789	0	0	13863	0	431164	0	-37	3135
16035962	0	0	10945	0	66170	0	0	-4698
16036292	0	0	1775	0	14420	0	0	-3662
16037376	150	0	570	0	43448	0	68	141
16038526	0	0	15106	0	282245	0	0	-3864
16040698	0	0	7892	0	145815	0	0	-4106
16040698	0	0	11864	0	453123	0	-43	-2429
16040761	0	104	0	0	0	0	0	-466
16040869	0	0	11340	0	309305	0	0	29960
16040921	0	3558	10650	0	104013	0	0	-196
16041087	0	0	8975	0	232453	0	0	14074
16042065	0	0	21517	0	727550	0	-308	-7578
16042302	0	0	32794	0	675084	0	0	-3233
16044164	0	0	13657	0	176855	0	0	8979
16044172	0	0	24509	0	203270	0	264	-17546
16044199	0	0	4454	0	12678	0	423	-1934
16044615	0	0	9256	0	82163	0	0	-1938
16044693	0	0	45237	0	235867	0	0	-10697
16044693	0	0	50169	0	307929	0	0	-4970
16046054	0	0	15281	0	163653	0	640	-2821
16048187	0	0	17867	0	340400	0	-125	-5267
16056516	0	0	12975	0	68472	0	0	-4353
16056516	0	0	14481	0	87438	0	0	-1640
16056973	0	0	18868	0	403550	0	-232	-6313
16057578	0	0	657	0	51967	0	66	143
16057969	0	0	5748	0	208312	0	-21	-2592
16057970	0	0	2838	0	39249	0	1	-680
16058075	0	0	10748	0	307300	0	-40	-2161
16058078	0	0	8856	0	323116	0	-34	-2352
16058647	0	0	34261	0	166618	0	0	-12300
16059631	0	0	18875	0	426781	0	0	-8863
16059666	0	0	6212	0	165663	0	-64	-2345
16059798	0	0	6078	0	209271	0	0	-2737
16059906	0	0	166327	0	3545923	0	0	279219
16060006	0	0	3175	0	99788	0	0	-1601
16061508	0	0	13895	0	319784	0	0	-19107
16063949	0	0	7011	0	86776	0	0	-6147
16064602	0	0	14544	0	245766	0	-128	-19361
16065736	0	0	13155	0	87899	0	0	-4261
16065736	0	0	13093	0	240020	0	0	-3453
16065738	120	0	15140	0	80698	0	0	-4731
